enjoy |【動】を楽しむ
take A into account （＝take account of A） |Aを考慮する，Aに注意する（≒take A into consideration）
take over |を引き継ぐ；（会社など）を買収する
turn down |を拒絶する，断る（≒refuse →1234）；（音量など）を小さくする
as a whole |全体として（の）
as for |に関しては，はどうかと言えば
as usual |いつものように
at least |少なくとも（⇔at （the） most →1405）
by means of |によって，を用いて
by mistake |間違って
for a moment |少しの間
for good （and all） |永久に（≒forever →542）
in a sense |ある意味で
in addition （to） |（に）加えて；その上（≒besides）
in any case［event］ |とにかく，いずれにしても（≒anyway →1638）
in case of |に備えて；もし...の場合には
in common （with） |（と）共通して
in contrast （to） |（と）対照的に
in detail |詳しく
in general |一般に，概して（⇔in particular →1681）；（名詞の後で）一般の
in particular |特に（⇔in general →1680）
in public |公然と，人前で
in terms of A （＝in A's terms） |Aの点から，Aに関しては
in the end |結局，最後に（⇔in the beginning）
in the past |これまで，過去に（⇔in the future →247）
instead of |の代わりに
more or less |ほとんど；多少なりとも
no more than |わずか，たった；にすぎない（≒only →1299）
nothing but |ただ...だけ
on account of |のために，の理由で（≒because of →588）
on （an / the） average |平均して
out of order |故障して，調子が悪くて；順序が乱れて
A rather than B（＝rather A than B） |BよりむしろA
regardless of |に関係なく，かまわず
with ease |容易に（≒easily →1631）
as if［though］... |（まるで）...する［である］ように
even if ... |たとえ...だとしても
the moment （that） ... |...するとすぐに（≒as soon as ... →259）
used to do |よく～したものだ，かつては～であった
would rather A （than B） |（Bよりは）むしろAしたい，Aでありたい
